COMUNIDAD_AUTONOMA	TAC	RM	GAM	HEM	ASD	LIT	BCO	ALI	SPECT	PET	MAMOS	DEN_O	DIAL
ANDALUCÍA	143	77	31	53	44	15	0	37	12	8	91	38	689
ARAGÓN	24	23	1	8	7	3	0	6	4	2	23	4	231
ASTURIAS	19	17	4	4	4	3	0	8	4	3	19	7	168
ILLES BALEARS	23	25	5	9	7	4	0	4	3	2	23	12	191
CANARIAS	38	32	13	14	17	7	0	14	13	3	30	15	332
CANTABRIA	9	6	0	2	4	1	0	4	3	1	5	1	16
CASTILLA Y LEÓN	47	31	9	9	8	4	0	13	6	1	41	14	304
CASTILLA-LA MANCHA	39	24	3	8	4	3	0	4	4	1	26	10	111
CATALUÑA	122	106	19	36	52	12	0	36	24	14	105	45	716
COMUNIDAD VALENCIANA	91	68	17	66	38	11	0	26	13	12	57	38	566
EXTREMADURA	29	14	1	5	5	1	0	6	4	1	19	3	100
GALICIA	52	37	6	15	19	4	0	15	12	4	35	16	448
MADRID	114	136	25	52	55	18	3	50	29	19	96	47	726
MURCIA	29	23	2	7	12	2	0	5	5	2	21	8	112
NAVARRA	15	10	0	3	2	2	0	6	4	2	8	3	111
PAÍS VASCO	40	31	8	13	15	8	0	16	7	6	30	10	182
LA RIOJA	5	4	1	1	2	1	0	2	1	1	4	3	38
CEUTA	1	1	0	0	0	0	0	0	0	0	1	1	0
MELILLA	1	0	0	0	0	0	0	0	0	0	1	0	15
Total Nacional	841	665	145	305	295	99	3	252	148	82	635	275	5056
