COMUNIDAD_AUTONOMA;POBLACION;SUPERFICIE;DENSIDAD_POP
ANDALUCÍA;8414240;87599;96.06
ARAGÓN;1319291;47720;27.65
ASTURIAS;1022800;10604;96.45
ILLES BALEARS;1149460;4992;230.26
CANARIAS;2153389;7447;289.16
CANTABRIA;581078;5321;109.20
CASTILLA Y LEÓN;2399548;94224;25.47
CASTILLA-LA MANCHA;2032863;79461;25.58
CATALUÑA;7675217;32113;239.01
COMUNIDAD VALENCIANA;5003769;23255;215.17
EXTREMADURA;1067710;41634;25.65
GALICIA;2699499;29575;91.28
MADRID;6663394;8028;830.02
MURCIA;1493898;11314;132.04
NAVARRA;654214;10391;62.96
PAÍS VASCO;2207776;7234;305.19
LA RIOJA;316798;5045;62.79
CEUTA;84777;20;4238.85
MELILLA;86487;12;7207.25
