Comunidad Autónoma;Población;Superficie
ANDALUCÍA;8464411;87599
ARAGÓN;1329391;47720
PPDO. DE ASTURIAS;1018784;10604
CANTABRIA;582905;5321
CEUTA;84202;20
CASTILLA Y LEÓN;2394918;94224
CASTILLA-LA MANCHA;2045221;79461
CANARIAS;2175952;7447
CATALUÑA;7780479;32113
EXTREMADURA;1063987;41634
GALICIA;2701819;29575
ILLES BALEARS;1171543;4992
REGIÓN DE MURCIA;1511251;11314
MADRID;6779888;8028
MELILLA;87076;12
C. FORAL DE NAVARRA;661197;10391
PAÍS VASCO;2220504;7234
LA RIOJA;319914;5045
COMUNIDAD VALENCIANA;5057353;23255
