AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2021;mayo;CENTRO;32;14;31;9;23;33;13;155
2021;mayo;ARGANZUELA;14;4;20;7;16;9;4;74
2021;mayo;RETIRO;17;3;15;3;17;11;3;69
2021;mayo;SALAMANCA;13;6;33;7;17;23;6;105
2021;mayo;CHAMARTIN;11;8;21;3;22;15;3;83
2021;mayo;TETUAN;19;10;21;4;10;13;3;80
2021;mayo;CHAMBERI;20;12;25;8;12;14;4;95
2021;mayo;FUENCARRAL;21;5;35;6;28;31;6;132
2021;mayo;MONCLOA;25;1;22;5;19;11;9;92
2021;mayo;LATINA;41;1;32;12;11;36;4;137
2021;mayo;CARABANCHEL;31;4;31;8;26;22;6;128
2021;mayo;USERA;15;2;15;5;16;15;2;70
2021;mayo;PUENTE VALLECAS;21;8;36;9;16;26;6;122
2021;mayo;MORATALAZ;13;3;10;5;6;7;0;44
2021;mayo;CIUDAD LINEAL;18;11;50;3;19;18;3;122
2021;mayo;HORTALEZA;25;3;22;2;14;15;3;84
2021;mayo;VILLAVERDE;33;1;20;8;10;17;1;90
2021;mayo;VILLA DE VALLECAS;29;2;29;4;13;18;3;98
2021;mayo;VICALVARO;13;1;12;3;6;11;0;46
2021;mayo;SAN BLAS;17;4;24;4;17;21;2;89
2021;mayo;BARAJAS;3;0;7;3;0;8;1;22
2021;mayo;FUERA TERMINO MUNICIPAL;0;0;1;0;0;0;2;3
2021;abril;CENTRO;12;28;24;9;21;20;12;126
2021;abril;ARGANZUELA;11;11;14;5;13;8;6;68
2021;abril;RETIRO;6;1;12;3;14;6;2;44
2021;abril;SALAMANCA;8;21;28;8;16;12;7;100
2021;abril;CHAMARTIN;13;6;18;1;18;15;4;75
2021;abril;TETUAN;14;11;15;3;14;17;3;77
2021;abril;CHAMBERI;6;12;33;4;10;12;1;78
2021;abril;FUENCARRAL;19;7;21;8;13;29;8;105
2021;abril;MONCLOA;19;3;32;6;16;21;12;109
2021;abril;LATINA;44;7;29;8;12;23;10;133
2021;abril;CARABANCHEL;15;4;25;3;21;21;4;93
2021;abril;USERA;16;3;11;7;5;16;2;60
2021;abril;PUENTE VALLECAS;16;10;23;11;19;21;6;106
2021;abril;MORATALAZ;8;5;12;10;6;10;0;51
2021;abril;CIUDAD LINEAL;7;7;24;9;19;16;4;86
2021;abril;HORTALEZA;7;4;21;4;15;17;5;73
2021;abril;VILLAVERDE;20;7;22;10;11;13;5;88
2021;abril;VILLA DE VALLECAS;24;3;9;9;5;15;1;66
2021;abril;VICALVARO;15;0;11;1;0;8;3;38
2021;abril;SAN BLAS;14;5;18;4;15;6;0;62
2021;abril;BARAJAS;2;0;3;0;6;4;3;18
2021;abril;FUERA TERMINO MUNICIPAL;0;0;1;0;0;0;0;1
2021;enero;CENTRO;15;160;45;40;49;96;22;427
2021;enero;ARGANZUELA;4;27;21;21;36;33;8;150
2021;enero;RETIRO;2;27;22;8;35;25;5;124
2021;enero;SALAMANCA;10;81;39;19;65;44;12;270
2021;enero;CHAMARTIN;11;27;31;18;71;47;12;217
2021;enero;TETUAN;12;71;42;14;36;51;14;240
2021;enero;CHAMBERI;7;68;35;16;37;42;10;215
2021;enero;FUENCARRAL;22;30;51;35;128;81;23;370
2021;enero;MONCLOA;7;26;42;30;97;55;11;268
2021;enero;LATINA;11;28;44;24;134;71;12;324
2021;enero;CARABANCHEL;27;36;38;36;68;66;5;276
2021;enero;USERA;14;23;23;16;54;35;10;175
2021;enero;PUENTE VALLECAS;28;46;53;29;74;63;20;313
2021;enero;MORATALAZ;5;3;12;13;31;15;3;82
2021;enero;CIUDAD LINEAL;7;46;46;11;145;64;13;332
2021;enero;HORTALEZA;16;30;35;25;111;44;7;268
2021;enero;VILLAVERDE;20;25;25;37;68;48;4;227
2021;enero;VILLA DE VALLECAS;17;16;32;19;22;39;5;150
2021;enero;VICALVARO;7;15;18;9;13;21;2;85
2021;enero;SAN BLAS;11;27;30;23;89;39;3;222
2021;enero;BARAJAS;3;12;7;12;16;19;3;72
